State,COVID-19 site,Data site,Twitter,PUI,PUM,Comments,Last update (Eastern time),Last checked (Eastern time),Checked by
IA,https://idph.iowa.gov/Emerging-Health-Issues/Novel-Coronavirus,,@IAPublicHealth,All data,N,,3/6/2020,3/6/2020 23:09:51,JH
ID,https://coronavirus.idaho.gov/,,@IDHW,All data,Y,,3/6/2020,3/6/2020 23:50:45,JH
IL,http://www.dph.illinois.gov/topics-services/diseases-and-conditions/diseases-a-z-list/coronavirus,,@IDPH,All data,N,,3/6/2020,3/6/2020 23:10:40,JH
IN,https://www.in.gov/isdh/28470.htm,,@statehealthin,No data,N,,3/5/2020,3/6/2020 23:11:47,JH
KS,http://www.kdheks.gov/coronavirus/,,@kdhe,All data,N,Data in linked PDF,3/6/2020,3/6/2020 23:12:46,JH
KY,https://chfs.ky.gov/agencies/dph/Pages/covid19.aspx,,@CHFSKy,All data,N,,3/6/2020 17:05:00,3/6/2020 23:14:30,JH
LA,http://ldh.la.gov/index.cfm/page/3835,,@LADeptHealth,No data,N,,,3/6/2020 23:15:01,JH
MA,https://www.mass.gov/resource/information-on-the-outbreak-of-coronavirus-disease-2019-covid-19,https://www.mass.gov/info-details/covid-19-cases-quarantine-and-monitoring,@massdph,Only positives,Y,Reports quarantine #s,3/6/2020 12:00:00,3/6/2020 23:15:41,JH
MD,https://phpa.health.maryland.gov/Pages/Novel-coronavirus.aspx,,@MDHealthDept,All data,N,,3/6/2020,3/6/2020 23:16:18,JH
ME,https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/airborne/coronavirus.shtml,,@mainedhhs,Only positives,N,Data in text,3/6/2020,3/6/2020 23:16:38,JH
MI,https://www.michigan.gov/coronavirus,,@MichiganHHS,All data,Y,,3/6/2020,3/6/2020 23:17:11,JH
MN,https://www.health.state.mn.us/diseases/coronavirus/index.html,https://www.health.state.mn.us/diseases/coronavirus/situation.html,@mnhealth,All data,N,,3/6/2020 16:00:00,3/6/2020 23:17:54,JH
MO,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/,,@HealthyLivingMo,No data,N,"Governor announced data, not reported here",,3/6/2020 23:18:42,JH
MS,"https://msdh.ms.gov/msdhsite/_static/14,0,420.html",,@msdh,Only positives,N,Data in text,3/3/2020,3/6/2020 23:19:10,JH
MT,https://dphhs.mt.gov/publichealth/cdepi/diseases/coronavirusmt,,@dphhsmt,All data,Y,,3/6/2020 19:00:00,3/6/2020 23:52:28,JH
NC,https://www.ncdhhs.gov/divisions/public-health/coronavirus-disease-2019-covid-19-response-north-carolina,https://www.ncdhhs.gov/covid-19-case-count-north-carolina,@ncdhhs,Only positives,N,Tabular data as of 3/6,3/6/2020 15:10:00,3/6/2020 23:20:46,JH
ND,https://www.health.nd.gov/diseases-conditions/coronavirus,https://www.health.nd.gov/diseases-conditions/coronavirus/north-dakota-coronavirus-cases,@NDDOH,All data,Y,,3/6/2020,3/6/2020 23:58:10,JH
NE,http://dhhs.ne.gov/Pages/Coronavirus.aspx,,@NEDHHS,All data,N,,3/6/2020,3/6/2020 23:21:35,JH
NH,https://www.dhhs.nh.gov/dphs/cdcs/2019-ncov.htm,,@NHPubHealth,All data,N,,3/6/2020 9:00:00,3/6/2020 23:22:08,JH
NJ,https://www.nj.gov/health/cd/topics/ncov.shtml,,@NJDeptofHealth,No data,N,,,3/6/2020 23:23:15,JH
NM,https://cv.nmhealth.org/,,@NMDOH,All data,N,,3/5/2020,3/6/2020 23:24:38,JH
NV,http://dpbh.nv.gov/coronavirus/,,@dhhsnevada,All data,N,,3/3/2020 17:40:00,3/6/2020 23:25:15,JH
NY,https://www.health.ny.gov/diseases/communicable/coronavirus/,,@healthnygov,All data,N,,3/6/2020 15:00:00,3/6/2020 23:25:27,JH
OH,https://odh.ohio.gov/wps/portal/gov/odh/know-our-programs/Novel-Coronavirus/welcome/,,@OHdeptofhealth,All data,N,,3/6/2020 14:00:00,3/6/2020 23:25:42,JH
OK,https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/2019_Novel_Coronavirus/index.html,,@HealthyOklahoma,No data,N,,3/3/2020,3/6/2020 23:28:03,JH
OR,https://www.oregon.gov/oha/PH/DISEASESCONDITIONS/DISEASESAZ/Pages/emerging-respiratory-infections.aspx,,@OHAOregon,All data,Y,,3/6/2020 12:30:00,3/6/2020 23:29:19,JH
PA,https://www.health.pa.gov/topics/disease/Pages/Coronavirus.aspx,,@PAHealthDept,Only positives,N,Data in text,3/6/2020 18:00:00,3/6/2020 23:30:46,JH
RI,https://health.ri.gov/diseases/respiratory/?parm=163,,@rihealth,Only positives,N,Data in text,,3/6/2020 23:59:50,JH
SC,https://scdhec.gov/health/infectious-diseases/viruses/coronavirus-disease-2019-covid-19,https://scdhec.gov/health/infectious-diseases/viruses/coronavirus-disease-2019-covid-19/monitoring-testing-covid-19,@scdhec,All data,Y,,3/6/2020,3/6/2020 23:31:07,JH
SD,https://doh.sd.gov/news/Coronavirus.aspx,,@SDDOH,All data,N,,3/6/2020 18:00:00,3/7/2020 0:03:53,JH
TN,https://www.tn.gov/health/cedep/ncov.html,,@TNDeptofHealth,Only positives,N,Data in linked PDF,3/6/2020,3/6/2020 23:32:02,JH
TX,https://dshs.texas.gov/coronavirus/,,@TexasDSHS,Only positives,N,,3/6/2020 11:00:00,3/6/2020 23:34:03,JH
UT,https://health.utah.gov/coronavirus,,@utahdepofhealth,No data,N,,,3/6/2020 23:36:14,JH
VA,http://www.vdh.virginia.gov/surveillance-and-investigation/novel-coronavirus/,,@vdhgov,All data,Y,,3/6/2020 11:00:00,3/6/2020 23:36:47,JH
VT,https://www.healthvermont.gov/response/infectious-disease/2019-novel-coronavirus,,@healthvermont,All data,Y,,3/6/2020 13:00:00,3/6/2020 23:37:09,JH
WA,https://www.doh.wa.gov/Emergencies/Coronavirus,,@WADeptHealth,Only positives,Y,"Reports deaths; UW virology claims 400 tests; see ""Counties"" tab!",3/6/2020 14:00:00,3/6/2020 23:44:24,JH
WI,https://www.dhs.wisconsin.gov/disease/covid-19.htm,https://www.dhs.wisconsin.gov/outbreaks/index.htm,@DHSWI,All data,N,,3/6/2020 15:00:00,3/6/2020 23:46:03,JH
WV,https://dhhr.wv.gov/Coronavirus%20Disease-COVID-19/Pages/default.aspx,,@WV_DHHR,All data,N,Data in text,,3/6/2020 23:46:31,JH
WY,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/,,@health_wyoming,No data,N,,,3/7/2020 0:06:31,JH
